"name","type","id","date_established","detail_page_url","acreage"
"Gates of the Arctic National Preserve","preserve","gatesofthearctic","1980-12-02T06:00:00.000Z","https://en.wikipedia.org/wiki/Gates_of_the_Arctic_National_Preserve",8472506
"Big Cypress National Preserve","preserve","bigcypress","1974-10-04T05:00:00.000Z","https://en.wikipedia.org/wiki/Big_Cypress_National_Preserve",720566
"Denali National Preserve","preserve","denali","1917-02-26T06:00:00.000Z","https://en.wikipedia.org/wiki/Denali_National_Preserve",4740911
"Aniakchak National Preserve","preserve","aniakchak","1978-12-01T06:00:00.000Z","https://en.wikipedia.org/wiki/Aniakchak_National_Preserve",2100
"Katmai National Preserve","preserve","katmai","1980-12-02T06:00:00.000Z","https://en.wikipedia.org/wiki/Katmai_National_Preserve",4093077
"Glacier Bay National Preserve","preserve","glacierbay","1980-12-02T06:00:00.000Z","https://en.wikipedia.org/wiki/Glacier_Bay_National_Preserve",3223384
"Great Sand Dunes National Preserve","preserve","greatsanddunes","2004-09-24T05:00:00.000Z","https://en.wikipedia.org/wiki/Great_Sand_Dunes_National_Preserve",149028
"Wrangell-St. Elias National Preserve","preserve","wrangellstelias","1980-12-02T06:00:00.000Z","https://en.wikipedia.org/wiki/Wrangell-St._Elias_National_Preserve",4852652.14
"Assateague Island","seashore","assateagueisland","1965-09-21T05:00:00.000Z","https://en.wikipedia.org/wiki/Assateague_Island_National_Seashore",39726.75
"Canaveral","seashore","canaveral","1975-01-03T06:00:00.000Z","https://en.wikipedia.org/wiki/Canaveral_National_Seashore",57661.69
"Cape Cod","seashore","capecod","1961-08-07T05:00:00.000Z","https://en.wikipedia.org/wiki/Cape_Cod_National_Seashore",43608.48
"Cape Hatteras","seashore","capehatteras","1953-01-12T06:00:00.000Z","https://en.wikipedia.org/wiki/Cape_Hatteras_National_Seashore",30350.65
"Cape Lookout","seashore","capelookout","1966-03-10T06:00:00.000Z","https://en.wikipedia.org/wiki/Cape_Lookout_National_Seashore",28243.36
"Cumberland Island","seashore","cumberlandisland","1972-10-23T05:00:00.000Z","https://en.wikipedia.org/wiki/Cumberland_Island_National_Seashore",36415.13
"Fire Island","seashore","fireisland","1964-09-11T05:00:00.000Z","https://en.wikipedia.org/wiki/Fire_Island_National_Seashore",19579.47
"Gulf Islands","seashore","gulfislands","1971-01-08T06:00:00.000Z","https://en.wikipedia.org/wiki/Gulf_Islands_National_Seashore",137990.97
"Padre Island","seashore","padreisland","1968-04-06T05:00:00.000Z","https://en.wikipedia.org/wiki/Padre_Island_National_Seashore",130434.27
"Point Reyes","seashore","pointreyes","1972-10-20T05:00:00.000Z","https://en.wikipedia.org/wiki/Point_Reyes_National_Seashore",71067.78
"Apostle Islands","lakeshore","apostleislands","1970-09-26T05:00:00.000Z","https://en.wikipedia.org/wiki/Apostle_Islands_National_Lakeshore",69371.89
