"id","name","type","date_established","acreage","detail_page_url"
"president-lincoln-and-soldiers’-home","President Lincoln and Soldiers’ Home","monument","2000-07-07T05:00:00.000Z",2.3,"https://en.wikipedia.org/wiki/President_Lincoln_and_Soldiers%E2%80%99_Home_National_Monument"
"sonoran-desert","Sonoran Desert","monument","2001-01-17T06:00:00.000Z",496400,"https://en.wikipedia.org/wiki/Sonoran_Desert_National_Monument"
"tuzigoot","Tuzigoot","monument","1939-07-25T05:00:00.000Z",811.89,"https://en.wikipedia.org/wiki/Tuzigoot_National_Monument"
"gila-cliff-dwellings","Gila Cliff Dwellings","monument","1907-11-16T06:00:00.000Z",533,"https://en.wikipedia.org/wiki/Gila_Cliff_Dwellings_National_Monument"
"vermilion-cliffs","Vermilion Cliffs","monument","2000-11-09T06:00:00.000Z",293689,"https://en.wikipedia.org/wiki/Vermilion_Cliffs_National_Monument"
"organ-pipe-cactus","Organ Pipe Cactus","monument","1937-04-13T05:00:00.000Z",330688,"https://en.wikipedia.org/wiki/Organ_Pipe_Cactus_National_Monument"
"yucca-house","Yucca House","monument","1919-12-19T06:00:00.000Z",33.87,"https://en.wikipedia.org/wiki/Yucca_House_National_Monument"
"waco-mammoth","Waco Mammoth","monument","2015-07-10T05:00:00.000Z",5,"https://en.wikipedia.org/wiki/Waco_Mammoth_National_Monument"
"virgin-islands-coral-reef","Virgin Islands Coral Reef","monument","2001-01-17T06:00:00.000Z",12708,"https://en.wikipedia.org/wiki/Virgin_Islands_Coral_Reef_National_Monument"
"pompeys-pillar","Pompeys Pillar","monument","2001-01-17T06:00:00.000Z",51,"https://en.wikipedia.org/wiki/Pompeys_Pillar_National_Monument"
"upper-missouri-river-breaks","Upper Missouri River Breaks","monument","2001-01-17T06:00:00.000Z",495502,"https://en.wikipedia.org/wiki/Upper_Missouri_River_Breaks_National_Monument"
"prehistoric-trackways","Prehistoric Trackways","monument","2009-03-30T05:00:00.000Z",5255,"https://en.wikipedia.org/wiki/Prehistoric_Trackways_National_Monument"
"pullman","Pullman","monument","2015-02-19T06:00:00.000Z",0,"https://en.wikipedia.org/wiki/Pullman_National_Monument"
"white-sands","White Sands","monument","1933-01-18T06:00:00.000Z",143733,"https://en.wikipedia.org/wiki/White_Sands_National_Monument"
"pipe-spring","Pipe Spring","monument","1923-05-31T05:00:00.000Z",40,"https://en.wikipedia.org/wiki/Pipe_Spring_National_Monument"
"reconstruction-era","Reconstruction Era","monument","2017-01-12T06:00:00.000Z",64.99,"https://en.wikipedia.org/wiki/Reconstruction_Era_National_Monument"
"walnut-canyon","Walnut Canyon","monument","1915-11-30T06:00:00.000Z",2249.5,"https://en.wikipedia.org/wiki/Walnut_Canyon_National_Monument"
"wupatki","Wupatki","monument","1924-12-09T06:00:00.000Z",35422,"https://en.wikipedia.org/wiki/Wupatki_National_Monument"
"tule-springs-fossil-beds","Tule Springs Fossil Beds","monument","2014-12-19T06:00:00.000Z",22650,"https://en.wikipedia.org/wiki/Tule_Springs_Fossil_Beds_National_Monument"
"harriet-tubman-underground-railroad","Harriet Tubman Underground Railroad","monument","2013-03-25T05:00:00.000Z",480,"https://en.wikipedia.org/wiki/Harriet_Tubman_Underground_Railroad_National_Monument"
"fort-frederica","Fort Frederica","monument","1936-05-26T05:00:00.000Z",218,"https://en.wikipedia.org/wiki/Fort_Frederica_National_Monument"
"homestead","Homestead","monument","1936-03-19T05:00:00.000Z",211,"https://en.wikipedia.org/wiki/Homestead_National_Monument_of_America"
"cape-krusenstern","Cape Krusenstern","monument","1978-12-01T06:00:00.000Z",649082,"https://en.wikipedia.org/wiki/Cape_Krusenstern_National_Monument"
"casa-grande-ruins","Casa Grande Ruins","monument","1918-08-03T05:00:00.000Z",472.5,"https://en.wikipedia.org/wiki/Casa_Grande_Ruins_National_Monument"
"fort-pulaski","Fort Pulaski","monument","1924-10-15T05:00:00.000Z",260,"https://en.wikipedia.org/wiki/Fort_Pulaski_National_Monument"
"hanford-reach","Hanford Reach","monument","2000-06-08T05:00:00.000Z",194451,"https://en.wikipedia.org/wiki/Hanford_Reach_National_Monument"
"california-coastal","California Coastal","monument","2000-01-11T06:00:00.000Z",2272,"https://en.wikipedia.org/wiki/California_Coastal_National_Monument"
"castle-mountains","Castle Mountains","monument","2016-02-12T06:00:00.000Z",20920,"https://en.wikipedia.org/wiki/Castle_Mountains_National_Monument"
"fort-mchenry","Fort McHenry","monument","1925-03-03T06:00:00.000Z",43.26,"https://en.wikipedia.org/wiki/Fort_McHenry"
"chimney-rock","Chimney Rock","monument","2012-09-21T05:00:00.000Z",4726,"https://en.wikipedia.org/wiki/Chimney_Rock_National_Monument"
"giant-sequoia","Giant Sequoia","monument","2000-04-15T05:00:00.000Z",327769,"https://en.wikipedia.org/wiki/Giant_Sequoia_National_Monument"
"grand-staircase-escalante","Grand Staircase-Escalante","monument","1996-09-18T05:00:00.000Z",1003863,"https://en.wikipedia.org/wiki/Grand_Staircase-Escalante_National_Monument"
"fort-stanwix","Fort Stanwix","monument","1935-08-21T05:00:00.000Z",16,"https://en.wikipedia.org/wiki/Fort_Stanwix"
"florissant-fossil-beds","Florissant Fossil Beds","monument","1969-08-20T05:00:00.000Z",5998,"https://en.wikipedia.org/wiki/Florissant_Fossil_Beds_National_Monument"
"george-washington-birthplace","George Washington Birthplace","monument","1930-01-23T06:00:00.000Z",661.7,"https://en.wikipedia.org/wiki/George_Washington_Birthplace_National_Monument"
"effigy-mounds","Effigy Mounds","monument","1949-10-25T05:00:00.000Z",2526,"https://en.wikipedia.org/wiki/Effigy_Mounds_National_Monument"
"jewel-cave","Jewel Cave","monument","1908-02-07T06:00:00.000Z",1273,"https://en.wikipedia.org/wiki/Jewel_Cave_National_Monument"
"hovenweep","Hovenweep","monument","1923-03-02T06:00:00.000Z",784,"https://en.wikipedia.org/wiki/Hovenweep_National_Monument"
"governors-island","Governors Island","monument","2001-01-19T06:00:00.000Z",22.78,"https://en.wikipedia.org/wiki/Governors_Island_National_Monument"
"fort-monroe","Fort Monroe","monument","2011-11-01T05:00:00.000Z",565,"https://en.wikipedia.org/wiki/Fort_Monroe"
"natural-bridges","Natural Bridges","monument","1908-04-16T05:00:00.000Z",7636,"https://en.wikipedia.org/wiki/Natural_Bridges_National_Monument"
